case,activity,resource,timestamp,Org,Project,Task,Role
Case 6301,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/11/30 16:02:51.000,organizational unit 65482,project 503,UNKNOWN,ADMINISTRATION,
Case 6301,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/12/02 18:08:18.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 6301,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/11 15:32:49.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 6301,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/11 15:32:52.000,organizational unit 65482,project 503,UNKNOWN,ADMINISTRATION,
Case 6301,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/12/11 15:37:11.000,organizational unit 65482,project 503,UNKNOWN,BUDGET OWNER,
Case 6301,Request For Payment APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/12 12:26:35.000,organizational unit 65482,project 503,UNKNOWN,SUPERVISOR,
Case 6301,Request For Payment FINAL_APPROVED by DIRECTOR,STAFF MEMBER,2018/12/27 17:49:30.000,organizational unit 65482,project 503,UNKNOWN,DIRECTOR,
Case 6301,Request Payment,SYSTEM,2019/01/03 12:18:48.000,organizational unit 65482,project 503,UNKNOWN,UNDEFINED,
Case 6301,Payment Handled,SYSTEM,2019/01/07 17:31:13.000,organizational unit 65482,project 503,UNKNOWN,UNDEFINED,
Case 3262,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/23 12:30:23.000,organizational unit 65462,project 147546,UNKNOWN,EMPLOYEE,
Case 3262,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/23 12:31:27.000,organizational unit 65462,project 147546,UNKNOWN,ADMINISTRATION,
Case 3262,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/05/24 10:41:06.000,organizational unit 65462,project 147546,UNKNOWN,BUDGET OWNER,
Case 3262,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/05/29 13:55:02.000,organizational unit 65462,project 147546,UNKNOWN,SUPERVISOR,
Case 3262,Request Payment,SYSTEM,2018/05/30 09:52:48.000,organizational unit 65462,project 147546,UNKNOWN,UNDEFINED,
Case 3262,Payment Handled,SYSTEM,2018/05/31 17:31:14.000,organizational unit 65462,project 147546,UNKNOWN,UNDEFINED,
Case 102,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/02/20 21:18:02.000,organizational unit 65458,project 503,task 13775,EMPLOYEE,
Case 102,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/02/20 21:18:13.000,organizational unit 65458,project 503,task 13775,SUPERVISOR,
Case 102,Request Payment,SYSTEM,2017/02/21 15:14:03.000,organizational unit 65458,project 503,task 13775,UNDEFINED,
Case 102,Payment Handled,SYSTEM,2017/02/23 17:32:40.000,organizational unit 65458,project 503,task 13775,UNDEFINED,
Case 2582,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/04 03:51:07.000,organizational unit 65468,project 147546,task 20962,EMPLOYEE,
Case 2582,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/04 04:01:17.000,organizational unit 65468,project 147546,task 20962,ADMINISTRATION,
Case 2582,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/04/04 09:00:14.000,organizational unit 65468,project 147546,task 20962,BUDGET OWNER,
Case 2582,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/06 02:35:20.000,organizational unit 65468,project 147546,task 20962,SUPERVISOR,
Case 2582,Request Payment,SYSTEM,2018/04/10 14:06:44.000,organizational unit 65468,project 147546,task 20962,UNDEFINED,
Case 2582,Payment Handled,SYSTEM,2018/04/12 17:31:12.000,organizational unit 65468,project 147546,task 20962,UNDEFINED,
Case 6630,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/13 16:26:12.000,organizational unit 65470,project 147588,UNKNOWN,EMPLOYEE,
Case 6630,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/13 16:26:15.000,organizational unit 65470,project 147588,UNKNOWN,ADMINISTRATION,
Case 6630,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/12/14 09:37:41.000,organizational unit 65470,project 147588,UNKNOWN,BUDGET OWNER,
Case 6630,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/18 09:49:30.000,organizational unit 65470,project 147588,UNKNOWN,SUPERVISOR,
Case 6630,Request Payment,SYSTEM,2018/12/21 17:18:40.000,organizational unit 65470,project 147588,UNKNOWN,UNDEFINED,
Case 6630,Payment Handled,SYSTEM,2019/01/03 11:59:16.000,organizational unit 65470,project 147588,UNKNOWN,UNDEFINED,
Case 4626,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/28 10:43:43.000,organizational unit 65454,project 147556,UNKNOWN,EMPLOYEE,
Case 4626,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/08/28 10:44:53.000,organizational unit 65454,project 147556,UNKNOWN,ADMINISTRATION,
Case 4626,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/08/28 10:57:49.000,organizational unit 65454,project 147556,UNKNOWN,SUPERVISOR,
Case 4626,Request Payment,SYSTEM,2018/08/30 09:52:33.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED,
Case 4626,Payment Handled,SYSTEM,2018/09/03 17:31:14.000,organizational unit 65454,project 147556,UNKNOWN,UNDEFINED,
Case 4317,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/07/23 17:18:15.000,organizational unit 65482,project 147546,UNKNOWN,EMPLOYEE,
Case 4317,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/07/23 17:18:21.000,organizational unit 65482,project 147546,UNKNOWN,ADMINISTRATION,
Case 4317,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/07/24 12:24:13.000,organizational unit 65482,project 147546,UNKNOWN,SUPERVISOR,
Case 4317,Request Payment,SYSTEM,2018/08/06 11:09:10.000,organizational unit 65482,project 147546,UNKNOWN,UNDEFINED,
Case 4317,Payment Handled,SYSTEM,2018/08/09 17:31:40.000,organizational unit 65482,project 147546,UNKNOWN,UNDEFINED,
Case 5232,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/04 08:41:51.000,organizational unit 65473,project 147556,UNKNOWN,EMPLOYEE,
Case 5232,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/04 08:41:54.000,organizational unit 65473,project 147556,UNKNOWN,ADMINISTRATION,
Case 5232,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/04 17:02:41.000,organizational unit 65473,project 147556,UNKNOWN,SUPERVISOR,
Case 5232,Request Payment,SYSTEM,2018/10/04 17:34:11.000,organizational unit 65473,project 147556,UNKNOWN,UNDEFINED,
Case 5232,Payment Handled,SYSTEM,2018/10/08 17:31:17.000,organizational unit 65473,project 147556,UNKNOWN,UNDEFINED,
Case 4988,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/20 12:46:47.000,organizational unit 65456,project 147531,UNKNOWN,EMPLOYEE,
Case 4988,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/20 12:47:44.000,organizational unit 65456,project 147531,UNKNOWN,ADMINISTRATION,
Case 4988,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/21 10:18:25.000,organizational unit 65456,project 147531,UNKNOWN,SUPERVISOR,
Case 4988,Request Payment,SYSTEM,2018/09/28 11:25:29.000,organizational unit 65456,project 147531,UNKNOWN,UNDEFINED,
Case 4988,Payment Handled,SYSTEM,2018/10/01 17:31:15.000,organizational unit 65456,project 147531,UNKNOWN,UNDEFINED,
Case 6727,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/17 21:20:28.000,organizational unit 65458,project 151000,UNKNOWN,EMPLOYEE,
Case 6727,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/17 21:24:45.000,organizational unit 65458,project 151000,UNKNOWN,ADMINISTRATION,
Case 6727,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/19 17:21:16.000,organizational unit 65458,project 151000,UNKNOWN,SUPERVISOR,
Case 6727,Request Payment,SYSTEM,2018/12/20 10:24:50.000,organizational unit 65458,project 151000,UNKNOWN,UNDEFINED,
Case 6727,Payment Handled,SYSTEM,2019/01/03 11:59:16.000,organizational unit 65458,project 151000,UNKNOWN,UNDEFINED,
Case 1694,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/06 15:04:02.000,organizational unit 65476,project 147556,UNKNOWN,EMPLOYEE,
Case 1694,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/06 15:04:46.000,organizational unit 65476,project 147556,UNKNOWN,ADMINISTRATION,
Case 1694,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/08 11:51:29.000,organizational unit 65476,project 147556,UNKNOWN,BUDGET OWNER,
Case 1694,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/09 09:49:45.000,organizational unit 65476,project 147556,UNKNOWN,SUPERVISOR,
Case 1694,Request Payment,SYSTEM,2018/02/19 08:29:39.000,organizational unit 65476,project 147556,UNKNOWN,UNDEFINED,
Case 1694,Payment Handled,SYSTEM,2018/02/22 17:30:41.000,organizational unit 65476,project 147556,UNKNOWN,UNDEFINED,
Case 3956,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/07/02 09:59:02.000,organizational unit 65461,project 156763,UNKNOWN,EMPLOYEE,
Case 3956,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/07/05 11:28:38.000,organizational unit 65461,project 156763,UNKNOWN,ADMINISTRATION,
Case 3956,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/07/12 10:32:26.000,organizational unit 65461,project 156763,UNKNOWN,SUPERVISOR,
Case 3956,Request Payment,SYSTEM,2018/07/14 17:25:25.000,organizational unit 65461,project 156763,UNKNOWN,UNDEFINED,
Case 3956,Payment Handled,SYSTEM,2018/07/19 17:32:04.000,organizational unit 65461,project 156763,UNKNOWN,UNDEFINED,
Case 6565,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/12 09:28:57.000,organizational unit 65465,project 147546,task 184287,EMPLOYEE,
Case 6565,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/12 09:29:02.000,organizational unit 65465,project 147546,task 184287,ADMINISTRATION,
Case 6565,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/12/13 14:46:51.000,organizational unit 65465,project 147546,task 184287,BUDGET OWNER,
Case 6565,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/18 15:10:47.000,organizational unit 65465,project 147546,task 184287,SUPERVISOR,
Case 6565,Request Payment,SYSTEM,2018/12/20 10:38:00.000,organizational unit 65465,project 147546,task 184287,UNDEFINED,
Case 6565,Payment Handled,SYSTEM,2019/01/03 11:59:16.000,organizational unit 65465,project 147546,task 184287,UNDEFINED,
Case 4273,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/07/19 00:35:44.000,organizational unit 65465,project 149069,task 48624,EMPLOYEE,
Case 4273,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/07/19 00:35:51.000,organizational unit 65465,project 149069,task 48624,ADMINISTRATION,
Case 4273,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/07/19 15:07:51.000,organizational unit 65465,project 149069,task 48624,SUPERVISOR,
Case 4273,Request Payment,SYSTEM,2018/07/24 08:22:21.000,organizational unit 65465,project 149069,task 48624,UNDEFINED,
Case 4273,Payment Handled,SYSTEM,2018/07/26 17:31:04.000,organizational unit 65465,project 149069,task 48624,UNDEFINED,
Case 2813,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/17 15:45:16.000,organizational unit 65488,project 148216,UNKNOWN,EMPLOYEE,
Case 2813,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/17 15:45:26.000,organizational unit 65488,project 148216,UNKNOWN,ADMINISTRATION,
Case 2813,Request For Payment REJECTED by SUPERVISOR,STAFF MEMBER,2018/04/18 08:35:11.000,organizational unit 65488,project 148216,UNKNOWN,SUPERVISOR,
Case 2813,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/18 09:57:24.000,organizational unit 65488,project 148216,UNKNOWN,EMPLOYEE,
Case 2813,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/18 09:59:00.000,organizational unit 65488,project 148216,UNKNOWN,EMPLOYEE,
Case 2813,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/18 09:59:05.000,organizational unit 65488,project 148216,UNKNOWN,ADMINISTRATION,
Case 2813,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/18 14:23:48.000,organizational unit 65488,project 148216,UNKNOWN,SUPERVISOR,
Case 2813,Request Payment,SYSTEM,2018/04/19 10:47:00.000,organizational unit 65488,project 148216,UNKNOWN,UNDEFINED,
Case 2813,Payment Handled,SYSTEM,2018/04/23 17:31:12.000,organizational unit 65488,project 148216,UNKNOWN,UNDEFINED,
Case 2499,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/28 11:28:59.000,organizational unit 65463,project 154071,UNKNOWN,EMPLOYEE,
Case 2499,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/03/28 11:29:05.000,organizational unit 65463,project 154071,UNKNOWN,ADMINISTRATION,
Case 2499,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/04 10:55:40.000,organizational unit 65463,project 154071,UNKNOWN,EMPLOYEE,
Case 2499,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/04 10:56:55.000,organizational unit 65463,project 154071,UNKNOWN,EMPLOYEE,
Case 2499,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/04 10:57:02.000,organizational unit 65463,project 154071,UNKNOWN,ADMINISTRATION,
Case 2499,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/04 11:43:36.000,organizational unit 65463,project 154071,UNKNOWN,SUPERVISOR,
Case 2499,Request Payment,SYSTEM,2018/04/09 11:53:05.000,organizational unit 65463,project 154071,UNKNOWN,UNDEFINED,
Case 2499,Payment Handled,SYSTEM,2018/04/12 17:31:12.000,organizational unit 65463,project 154071,UNKNOWN,UNDEFINED,
Case 6297,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/30 15:40:13.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 6297,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/11/30 15:40:21.000,organizational unit 65482,project 503,UNKNOWN,ADMINISTRATION,
Case 6297,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/12/02 17:59:29.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 6297,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/11 15:37:50.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 6297,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/11 15:37:53.000,organizational unit 65482,project 503,UNKNOWN,ADMINISTRATION,
Case 6297,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/12/11 15:41:52.000,organizational unit 65482,project 503,UNKNOWN,BUDGET OWNER,
Case 6297,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/12 12:26:35.000,organizational unit 65482,project 503,UNKNOWN,SUPERVISOR,
Case 6297,Request Payment,SYSTEM,2019/01/03 12:19:07.000,organizational unit 65482,project 503,UNKNOWN,UNDEFINED,
Case 6297,Payment Handled,SYSTEM,2019/01/07 17:31:13.000,organizational unit 65482,project 503,UNKNOWN,UNDEFINED,
Case 301,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/05/08 17:18:16.000,organizational unit 65458,project 147546,UNKNOWN,EMPLOYEE,
Case 301,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/05/08 17:18:24.000,organizational unit 65458,project 147546,UNKNOWN,SUPERVISOR,
Case 301,Request Payment,SYSTEM,2017/05/09 14:11:32.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 301,Payment Handled,SYSTEM,2017/05/11 17:31:23.000,organizational unit 65458,project 147546,UNKNOWN,UNDEFINED,
Case 3844,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/27 08:55:03.000,organizational unit 65465,project 147908,UNKNOWN,EMPLOYEE,
Case 3844,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/27 08:55:11.000,organizational unit 65465,project 147908,UNKNOWN,ADMINISTRATION,
Case 3844,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/28 15:50:41.000,organizational unit 65465,project 147908,UNKNOWN,SUPERVISOR,
Case 3844,Request Payment,SYSTEM,2018/07/03 09:18:27.000,organizational unit 65465,project 147908,UNKNOWN,UNDEFINED,
Case 3844,Payment Handled,SYSTEM,2018/07/05 17:31:35.000,organizational unit 65465,project 147908,UNKNOWN,UNDEFINED,
Case 2173,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/08 10:04:31.000,organizational unit 65488,project 147843,UNKNOWN,EMPLOYEE,
Case 2173,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/08 10:04:56.000,organizational unit 65488,project 147843,UNKNOWN,ADMINISTRATION,
Case 2173,Request For Payment REJECTED by SUPERVISOR,STAFF MEMBER,2018/03/09 08:40:28.000,organizational unit 65488,project 147843,UNKNOWN,SUPERVISOR,
Case 2173,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/03/12 16:35:17.000,organizational unit 65488,project 147843,UNKNOWN,EMPLOYEE,
Case 2173,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/15 09:44:49.000,organizational unit 65488,project 147843,UNKNOWN,EMPLOYEE,
Case 2173,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/15 09:45:32.000,organizational unit 65488,project 147843,UNKNOWN,ADMINISTRATION,
Case 2173,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/15 11:41:48.000,organizational unit 65488,project 147843,UNKNOWN,SUPERVISOR,
Case 2173,Request Payment,SYSTEM,2018/03/20 14:09:14.000,organizational unit 65488,project 147843,UNKNOWN,UNDEFINED,
Case 2173,Payment Handled,SYSTEM,2018/03/22 17:31:12.000,organizational unit 65488,project 147843,UNKNOWN,UNDEFINED,
Case 3906,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/29 13:54:02.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 3906,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/07/03 11:39:12.000,organizational unit 65482,project 503,UNKNOWN,ADMINISTRATION,
Case 3906,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/07/19 15:18:16.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 3906,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/28 12:45:35.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 3906,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/08/28 12:45:39.000,organizational unit 65482,project 503,UNKNOWN,ADMINISTRATION,
Case 3906,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/09/06 10:29:40.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 3906,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/12 10:22:22.000,organizational unit 65482,project 503,UNKNOWN,EMPLOYEE,
Case 3906,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/09/12 10:22:26.000,organizational unit 65482,project 503,UNKNOWN,ADMINISTRATION,
Case 3906,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/09/12 15:52:01.000,organizational unit 65482,project 503,UNKNOWN,SUPERVISOR,
Case 3906,Request Payment,SYSTEM,2018/09/14 12:37:09.000,organizational unit 65482,project 503,UNKNOWN,UNDEFINED,
Case 3906,Payment Handled,SYSTEM,2018/09/20 17:31:17.000,organizational unit 65482,project 503,UNKNOWN,UNDEFINED,
Case 4697,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/09/03 08:43:09.000,organizational unit 65482,UNKNOWN,UNKNOWN,EMPLOYEE,
Case 4697,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/09/03 08:43:13.000,organizational unit 65482,UNKNOWN,UNKNOWN,ADMINISTRATION,
Case 4697,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/09/06 11:40:19.000,organizational unit 65482,UNKNOWN,UNKNOWN,EMPLOYEE,
Case 3527,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/07 15:01:52.000,organizational unit 65461,project 147556,task 155402,EMPLOYEE,
Case 3527,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/07 15:02:23.000,organizational unit 65461,project 147556,task 155402,ADMINISTRATION,
Case 3527,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/06/11 15:19:13.000,organizational unit 65461,project 147556,task 155402,BUDGET OWNER,
Case 3527,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/06/14 11:28:59.000,organizational unit 65461,project 147556,task 155402,SUPERVISOR,
Case 3527,Request Payment,SYSTEM,2018/06/18 10:15:24.000,organizational unit 65461,project 147556,task 155402,UNDEFINED,
Case 3527,Payment Handled,SYSTEM,2018/06/21 17:31:09.000,organizational unit 65461,project 147556,task 155402,UNDEFINED,
Case 2390,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/21 14:00:15.000,organizational unit 65461,project 147556,task 153871,EMPLOYEE,
Case 2390,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/21 14:00:17.000,organizational unit 65461,project 147556,task 153871,ADMINISTRATION,
Case 2390,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/22 17:01:35.000,organizational unit 65461,project 147556,task 153871,SUPERVISOR,
Case 2390,Request Payment,SYSTEM,2018/03/23 15:17:45.000,organizational unit 65461,project 147556,task 153871,UNDEFINED,
Case 2390,Payment Handled,SYSTEM,2018/04/19 17:31:32.000,organizational unit 65461,project 147556,task 153871,UNDEFINED,
Case 173,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/03/17 21:40:17.000,organizational unit 65463,project 147531,UNKNOWN,EMPLOYEE,
Case 173,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/03/17 21:40:23.000,organizational unit 65463,project 147531,UNKNOWN,SUPERVISOR,
Case 173,Request Payment,SYSTEM,2017/03/20 15:46:34.000,organizational unit 65463,project 147531,UNKNOWN,UNDEFINED,
Case 173,Payment Handled,SYSTEM,2017/03/23 17:30:45.000,organizational unit 65463,project 147531,UNKNOWN,UNDEFINED,
Case 6472,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/07 16:06:28.000,organizational unit 65458,project 166742,UNKNOWN,EMPLOYEE,
Case 6472,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/07 16:07:48.000,organizational unit 65458,project 166742,UNKNOWN,ADMINISTRATION,
Case 6472,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/12/09 16:58:30.000,organizational unit 65458,project 166742,UNKNOWN,BUDGET OWNER,
Case 6472,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/11 09:22:38.000,organizational unit 65458,project 166742,UNKNOWN,SUPERVISOR,
Case 6472,Request Payment,SYSTEM,2018/12/11 09:26:34.000,organizational unit 65458,project 166742,UNKNOWN,UNDEFINED,
Case 6472,Payment Handled,SYSTEM,2018/12/13 17:31:08.000,organizational unit 65458,project 166742,UNKNOWN,UNDEFINED,
Case 1034,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/12/10 16:04:13.000,organizational unit 65458,project 147701,UNKNOWN,EMPLOYEE,
Case 1034,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/12/10 16:04:16.000,organizational unit 65458,project 147701,UNKNOWN,SUPERVISOR,
Case 1034,Request Payment,SYSTEM,2017/12/19 12:25:55.000,organizational unit 65458,project 147701,UNKNOWN,UNDEFINED,
Case 1034,Payment Handled,SYSTEM,2017/12/21 17:31:41.000,organizational unit 65458,project 147701,UNKNOWN,UNDEFINED,
Case 1164,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/09 12:27:14.000,organizational unit 65460,project 147620,UNKNOWN,EMPLOYEE,
Case 1164,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/09 12:27:26.000,organizational unit 65460,project 147620,UNKNOWN,ADMINISTRATION,
Case 1164,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/11 08:35:20.000,organizational unit 65460,project 147620,UNKNOWN,BUDGET OWNER,
Case 1164,Request For Payment APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/12 00:07:02.000,organizational unit 65460,project 147620,UNKNOWN,SUPERVISOR,
Case 1164,Request For Payment FINAL_APPROVED by DIRECTOR,STAFF MEMBER,2018/01/16 09:01:32.000,organizational unit 65460,project 147620,UNKNOWN,DIRECTOR,
Case 1164,Request Payment,SYSTEM,2018/01/23 09:41:10.000,organizational unit 65460,project 147620,UNKNOWN,UNDEFINED,
Case 1164,Payment Handled,SYSTEM,2018/01/25 17:31:09.000,organizational unit 65460,project 147620,UNKNOWN,UNDEFINED,
Case 5465,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/16 15:46:52.000,organizational unit 65482,project 147546,UNKNOWN,EMPLOYEE,
Case 5465,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/16 15:47:14.000,organizational unit 65482,project 147546,UNKNOWN,ADMINISTRATION,
Case 5465,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/17 13:58:10.000,organizational unit 65482,project 147546,UNKNOWN,SUPERVISOR,
Case 5465,Request Payment,SYSTEM,2018/10/19 08:27:40.000,organizational unit 65482,project 147546,UNKNOWN,UNDEFINED,
Case 5465,Payment Handled,SYSTEM,2018/10/22 17:31:25.000,organizational unit 65482,project 147546,UNKNOWN,UNDEFINED,
Case 759,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/10/05 22:09:45.000,organizational unit 65458,project 147582,UNKNOWN,EMPLOYEE,
Case 759,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/10/05 22:10:01.000,organizational unit 65458,project 147582,UNKNOWN,SUPERVISOR,
Case 759,Request Payment,SYSTEM,2017/10/10 14:41:50.000,organizational unit 65458,project 147582,UNKNOWN,UNDEFINED,
Case 759,Payment Handled,SYSTEM,2017/10/12 17:31:34.000,organizational unit 65458,project 147582,UNKNOWN,UNDEFINED,
